"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,7,5,7,4,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.981004069627849
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,6,5,1,3,6,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.980565054156645
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,5,1,3,4,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.978027504726375
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,8,3,5,5,7,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.976818058637685
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,8,2,5,5,7,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.975455413330884
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,5,5,1,5,5,1,5,5,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.973874050726576
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,1,7,2,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.971963482196729
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,1,1,1,5,6,3,5,8,5,5,5,1,7,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.971401306464556
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.969873130003996
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,7,5,1,3,2,5,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.969815180255981
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,5,1,3,4,5,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.969679976060115
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,1,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.968640941553921
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,3,1,1,5,6,3,5,5,5,5,5,1,7,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.967309345146658
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,4,5,7,4,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.966887551957498
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,2,5,1,7,4,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.96627865754747
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,1,3,5,5,7,4,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.96532106562386
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,4,3,5,5,7,4,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.964473852416327
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,7,5,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.963529023106886
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,3,5,5,7,4,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.961061055242102
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,5,1,3,5,5,5,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.960751367248936
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,3,5,1,5,3,5,7,1,4,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.956485781767564
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,5,1,3,5,5,4,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.954683262023006
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,3,3,5,5,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.954043617919962
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,5,1,3,5,5,4,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.953978132836643
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,8,3,5,5,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.953359573384937
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,6,2,5,1,4,5,1,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.95290670415186
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,5,1,1,1,6,5,5,5,1,7,5,1,5,5,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.951458362047125
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,5,5,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.950977473919779
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,1,5,1,3,5,1,1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.949362307165533
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,3,3,5,7,4,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.948632643057827
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,3,3,4,5,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.948562797299763
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,5,1,3,5,5,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.947846171927249
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,4,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.945856032924353
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,6,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.94545493066461
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,4,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.944156458510787
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.943246429419012
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,5,1,3,4,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.942417408209139
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,5,1,3,6,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.9419923946263
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,1,5,1,5,5,4,5,5,5,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.941972010703975
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.941855795355851
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,5,1,3,4,5,4,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.941683123908755
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,5,1,3,2,5,4,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.941651927372745
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,4,2,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.940663745471727
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,1,5,1,3,5,1,5,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.940321437408188
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,2,5,1,1,5,1,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.939696518697485
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,1,1,5,6,5,5,5,1,7,5,1,5,8,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.939086102350363
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,8,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.939010709426532
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,4,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.938876619198102
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,6,3,5,3,7,2,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.938689869811389
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,6,7,1,5,6,3,1,5,5,5,5,1,7,2,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.938434792244934
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,1,5,1,5,5,4,5,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.93764244788452
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,3,7,4,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.937536542318373
-1,-1,-1,-1,-1,-1,-1,-1,7,5,7,3,7,1,1,5,8,5,5,5,1,3,5,1,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.93740341691365
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,8,6,5,4,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.937009359829101
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,5,5,4,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.93605611651554
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,4,1,5,1,5,5,1,5,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.934163817956354
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,3,3,5,5,3,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.934072504874351
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,7,1,3,5,5,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.932329922854468
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,4,8,1,5,1,5,5,1,5,4,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.93163657003856
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,7,1,1,5,6,3,4,5,5,2,5,1,7,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.93151641724597
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,8,1,3,4,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.927716490023322
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,5,1,3,5,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.927604648310324
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,6,5,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.927190335604067
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,8,3,5,7,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.926938444388133
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,3,5,5,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.926612171856405
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,7,1,3,4,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.925413145678583
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,8,5,6,5,1,5,5,1,5,1,5,5,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.923530138676798
-1,-1,-1,-1,-1,-1,-1,2,4,5,7,3,7,1,1,5,6,5,5,5,1,7,3,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.923141770487887
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,5,1,3,5,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.923101135782329
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,5,1,3,5,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.922058879938009
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,8,5,4,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.921693319455484
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,3,1,3,4,5,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.921372802418923
-1,-1,-1,-1,-1,-1,-1,2,4,5,7,3,7,1,1,5,6,5,5,5,3,7,5,1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.921006838728656
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,7,1,3,4,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.920784947892838
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,5,1,3,4,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.919480562349553
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,6,3,5,5,7,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.919071045438381
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,6,3,5,5,7,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.917140078396011
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,4,3,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.916831491458114
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,1,5,3,6,5,1,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.916093495298953
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,3,5,5,7,4,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.915967350144428
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,1,3,4,5,7,4,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.914551358088822
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,4,1,5,1,5,5,1,5,5,5,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.913985932901771
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,6,8,1,5,6,3,1,5,5,5,5,1,7,5,5,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.913813047329433
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,5,1,6,5,5,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.911459019548543
-1,-1,-1,-1,-1,-1,-1,2,2,5,7,1,1,1,1,1,6,8,5,5,1,7,5,1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.911295392798444
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,7,7,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.909536309893444
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,2,3,5,5,7,4,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.908418628992646
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,1,1,1,5,6,4,1,5,5,5,5,1,7,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.90742280898491
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,5,5,5,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.905723022264611
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,1,3,4,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.905526601088286
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,2,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.905076180705677
-1,-1,-1,-1,-1,-1,-1,1,1,5,7,3,7,1,1,5,6,5,5,5,8,7,5,1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.904571620909042
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,3,3,5,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.904283542365697
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,4,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.903264780410118
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,8,7,4,1,5,6,5,1,5,5,5,5,4,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.902379039644134
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,5,5,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.902082758600767
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,5,5,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.902020142660672
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,5,1,2,7,5,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.901186944648306
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,5,1,3,5,5,4,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.900762744871795
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,4,3,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.900719201642129
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,3,5,5,4,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.90042198477951
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,5,1,3,2,5,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.899323338320627
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,5,4,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.899212009536883
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,1,5,1,5,5,1,5,5,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.898380975983123
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,5,7,2,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.898159804369986
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,3,1,1,1,6,3,4,5,5,3,5,1,7,5,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.897711681430167
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,1,1,1,4,3,3,1,5,5,5,5,4,7,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.897364759143466
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,1,5,1,3,5,1,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.896928115701507
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,1,6,5,5,4,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.896571849515696
-1,-1,-1,-1,-1,-1,-1,2,7,5,7,3,7,1,1,5,6,5,5,5,1,7,5,1,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.89632042974852
