"","L19","L18","L17","L16","L15","L14","L13","L12","L11","L10","L9","L8","L7","L6","L5","L4","L3","L2","L1","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","pred_1"
"54",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,1,8,6,5,5,5,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.111428779253118
"55",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,5,7,5,1,5,1,7,5,1,7,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0106852652081876
"56",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,5,3,7,1,5,7,7,5,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000196182729715237
"57",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,6,2,6,3,1,1,5,3,5,8,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0398365517942261
"58",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,1,5,1,1,3,2,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0984703328009001
"59",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,5,2,5,1,7,1,7,5,1,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13149128293947
"60",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,4,5,1,4,4,8,5,7,5,1,6,5,7,3,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0856832902455877
"61",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,7,2,1,3,1,5,1,5,7,7,5,8,7,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.33607731214088e-05
"62",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,7,5,4,5,1,6,3,3,8,6,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00663679135000337
"63",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,4,5,1,7,5,7,5,7,3,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000635724809896908
"64",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,4,5,8,2,6,5,1,4,7,7,6,1,1,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0772469029852412
"65",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,5,6,6,5,1,7,1,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.11763380121298e-07
"66",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,5,1,5,1,7,5,1,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.015921556718454
"67",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,1,4,5,2,6,1,5,5,7,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.173922300880456
"68",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,6,5,1,5,5,3,5,5,2,7,8,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0975317686935566
"69",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,4,7,6,5,1,5,1,5,4,4,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.380682107392916
"70",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,1,3,6,5,1,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.169023309202955
"71",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,1,1,1,8,8,5,5,3,1,3,6,7,5,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0174916350148916
"72",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,1,1,1,2,6,1,3,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.377815685477766
"73",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,8,5,1,7,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00488811908854691
"74",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,4,5,3,5,1,5,7,7,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.6892398710963e-05
"75",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,1,4,1,7,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00215012944797166
"76",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,2,5,4,6,1,1,7,7,3,5,8,8,1,6,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00891570286123657
"77",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,5,5,1,6,1,1,5,1,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117189777298565
"78",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6,4,1,7,7,5,4,5,3,4,7,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.399072914354751
"79",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,5,5,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.245448285849382
"80",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,5,1,7,1,4,7,5,1,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0327498469530271
"81",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,5,6,2,3,4,3,7,5,1,3,3,3,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00333395719165409
"82",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,4,1,7,5,7,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000555602346324028
"83",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,6,5,1,1,1,7,5,1,4,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0974647474070433
"84",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,5,4,1,3,4,5,1,5,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.420777565613815
"85",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,2,5,8,7,8,5,5,1,7,5,7,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0353870072394175
"86",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,5,6,5,1,3,1,7,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00409646274881775
"87",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,1,4,8,5,1,5,5,2,5,1,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.080593081893441
"88",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,5,1,5,6,5,3,7,3,5,6,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00282930966339733
"89",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,5,1,2,1,7,7,7,4,5,5,5,5,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.237193124478125
"90",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,5,2,2,2,1,7,2,1,7,6,2,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00162492178171381
"91",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,6,5,3,5,5,5,1,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0623334168063332
"92",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,1,5,7,5,3,1,3,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.112281228436571
"93",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,2,5,2,5,1,4,1,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00032287571707108
"94",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,5,1,5,1,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000477429113989694
"95",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,6,1,5,6,1,1,8,6,1,3,5,7,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0171921362180273
"96",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,5,1,1,5,7,2,6,5,5,1,5,7,4,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.047914200697982
"97",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,8,7,1,6,8,4,5,7,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0875496417745682
"98",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,1,8,1,2,1,5,1,4,1,3,4,1,5,1,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.545882450785182
"99",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,1,5,7,5,5,1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00158115059385971
"100",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,3,1,1,1,5,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.68585655791438e-06
"101",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6,2,1,7,1,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.122293809375e-05
"102",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,1,5,6,5,1,7,5,7,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.348087536357081
"103",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,1,1,4,1,5,5,1,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000171917922672124
"104",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,5,4,5,6,5,1,5,1,7,3,5,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.3217373220031e-05
"105",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,4,5,6,5,1,7,5,7,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000109452481092321
"106",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,5,1,5,1,7,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000463703522573993
"107",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,1,7,3,4,2,1,5,5,5,5,8,7,2,2,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.248157381219702
"108",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,4,5,1,7,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000767353495851527
"109",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,8,5,2,7,5,6,3,5,5,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00355384275020384
"110",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,6,5,1,3,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000410425418975407
"111",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,1,2,2,5,1,5,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.150554073525739
"112",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,5,1,7,5,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0999396408812606
"113",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,1,1,4,3,5,1,5,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00421012955684613
"114",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,5,5,5,5,5,5,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.331712844849366
"115",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,7,1,5,6,1,1,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0526421475803508
"116",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,6,5,1,6,1,7,5,1,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000175824622001646
"117",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,1,1,5,1,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0907692370359605
"118",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,1,4,1,7,5,1,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0288990824343625
"119",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5,6,1,1,8,1,7,4,1,5,1,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00149398492710892
"120",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,5,5,5,1,5,5,1,7,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.776501346886847
"121",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4,1,5,6,4,1,2,1,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.107742404703352
