,prob.test2,prob,,prob.test2,prob,,prob.test2,prob,,prob.test2,prob
64,1.81E-15,6.37E-05,,1.81E-15,6.37E-05,,8.23E-16,0.010679951,,1.81E-15,6.37E-05
65,1.43E-17,1.47E-09,,1.43E-17,1.47E-09,,3.01E-13,0.127261554,,1.43E-17,1.47E-09
66,3.39E-19,2.73E-09,,3.39E-19,2.73E-09,,7.09E-16,0.006260774,,3.39E-19,2.73E-09
67,1.95E-12,0.000403099,,1.95E-12,0.000403099,,4.12E-10,0.036092504,,1.95E-12,0.000403099
68,1.21E-17,1.40E-06,,1.21E-17,1.40E-06,,3.14E-11,0.031459099,,1.21E-17,1.40E-06
69,6.16E-15,0.000170087,,6.16E-15,0.000170087,,3.10E-11,0.058683816,,6.16E-15,0.000170087
70,1.23E-15,4.18E-07,,1.23E-15,4.18E-07,,3.31E-16,0.0029847,,1.23E-15,4.18E-07
71,3.86E-11,3.21E-05,,3.86E-11,3.21E-05,,1.84E-15,0.008479563,,3.86E-11,3.21E-05
72,1.48E-15,9.65E-09,,1.48E-15,9.65E-09,,3.37E-14,0.00927605,,1.48E-15,9.65E-09
73,7.57E-20,6.40E-09,,7.57E-20,6.40E-09,,3.01E-15,0.02931654,,7.57E-20,6.40E-09
74,1.13E-16,8.58E-07,,1.13E-16,8.58E-07,,2.91E-14,0.026223245,,1.13E-16,8.58E-07
75,5.04E-16,7.50E-05,,5.04E-16,7.50E-05,,1.58E-13,0.019544593,,5.04E-16,7.50E-05
76,2.66E-15,0.000146046,,2.66E-15,0.000146046,,1.54E-12,0.012515291,,2.66E-15,0.000146046
77,3.97E-16,2.96E-08,,3.97E-16,2.96E-08,,1.32E-15,0.014214407,,3.97E-16,2.96E-08
78,8.44E-18,5.29E-07,,8.44E-18,5.29E-07,,6.52E-18,0.000708619,,8.44E-18,5.29E-07
79,8.88E-17,2.37E-05,,8.88E-17,2.37E-05,,6.12E-11,0.018591888,,8.88E-17,2.37E-05
80,1.89E-10,0.002258739,,1.89E-10,0.002258739,,2.10E-11,0.056718664,,1.89E-10,0.002258739
81,7.54E-16,3.00E-07,,7.54E-16,3.00E-07,,2.16E-15,0.012774545,,7.54E-16,3.00E-07
82,1.34E-14,0.002063263,,1.34E-14,0.002063263,,1.16E-12,0.007192606,,1.34E-14,0.002063263
83,1.83E-16,2.92E-06,,1.83E-16,2.92E-06,,6.05E-17,0.008142921,,1.83E-16,2.92E-06
84,8.38E-14,0.000282529,,8.38E-14,0.000282529,,2.45E-13,0.032846844,,8.38E-14,0.000282529
85,1.42E-14,6.84E-06,,1.42E-14,6.84E-06,,2.63E-17,0.006383805,,1.42E-14,6.84E-06
86,8.32E-19,1.03E-08,,8.32E-19,1.03E-08,,5.25E-15,0.008016162,,8.32E-19,1.03E-08
87,1.06E-14,2.24E-06,,1.06E-14,2.24E-06,,5.45E-15,0.009042955,,1.06E-14,2.24E-06
88,1.55E-14,7.31E-07,,1.55E-14,7.31E-07,,3.93E-17,0.000326037,,1.55E-14,7.31E-07
89,1.93E-16,8.18E-07,,1.93E-16,8.18E-07,,4.25E-17,0.012149231,,1.93E-16,8.18E-07
90,4.83E-18,2.99E-07,,4.83E-18,2.99E-07,,1.98E-14,0.009161405,,4.83E-18,2.99E-07
91,4.82E-15,2.86E-07,,4.82E-15,2.86E-07,,3.81E-12,0.021446003,,4.82E-15,2.86E-07
92,1.36E-10,0.002289178,,1.36E-10,0.002289178,,2.50E-13,0.010258043,,1.36E-10,0.002289178
93,3.57E-13,0.000712288,,3.57E-13,0.000712288,,2.21E-11,0.027960773,,3.57E-13,0.000712288
94,6.17E-15,2.20E-06,,6.17E-15,2.20E-06,,3.37E-16,0.003956849,,6.17E-15,2.20E-06
95,5.87E-14,3.82E-05,,5.87E-14,3.82E-05,,6.61E-15,0.024264214,,5.87E-14,3.82E-05
96,6.78E-18,6.26E-08,,6.78E-18,6.26E-08,,2.36E-13,0.003819526,,6.78E-18,6.26E-08
97,1.66E-13,0.001080497,,1.66E-13,0.001080497,,1.86E-12,0.012922242,,1.66E-13,0.001080497
98,7.48E-14,0.000571659,,7.48E-14,0.000571659,,1.31E-17,0.003848307,,7.48E-14,0.000571659
99,9.91E-16,2.08E-05,,9.91E-16,2.08E-05,,1.43E-12,0.01611966,,9.91E-16,2.08E-05
100,2.17E-15,1.35E-07,,2.17E-15,1.35E-07,,1.74E-11,0.012405843,,2.17E-15,1.35E-07
