,prob.test2,prob,,prob.test2,prob,,prob.test2,prob
37,0.999999982,0.998280922,,0.999999982,0.998280922,,0.999999982,0.998280922
38,0.999999833,0.820239549,,0.999999833,0.820239549,,0.999999833,0.820239549
39,0.999999953,0.937715761,,0.999999953,0.937715761,,0.999999953,0.937715761
40,0.999999987,0.999340013,,0.999999987,0.999340013,,0.999999987,0.999340013
41,0.999999988,0.992137088,,0.999999988,0.992137088,,0.999999988,0.992137088
42,0.999999734,0.893850418,,0.999999734,0.893850418,,0.999999734,0.893850418
43,0.999999817,0.968453283,,0.999999817,0.968453283,,0.999999817,0.968453283
44,0.999996211,0.823199892,,0.999996211,0.823199892,,0.999996211,0.823199892
45,0.999999955,0.944884242,,0.999999955,0.944884242,,0.999999955,0.944884242
46,0.999993208,0.862216083,,0.999993208,0.862216083,,0.999993208,0.862216083
47,0.998591898,0.659370697,,0.998591898,0.659370697,,0.998591898,0.659370697
48,0.999996657,0.972557348,,0.999996657,0.972557348,,0.999996657,0.972557348
49,0.999999988,0.976187173,,0.999999988,0.976187173,,0.999999988,0.976187173
50,0.99969333,0.852665688,,0.99969333,0.852665688,,0.99969333,0.852665688
51,1.56E-14,0.000646793,,1.56E-14,0.000646793,,1.56E-14,0.000646793
52,5.71E-14,0.000517205,,5.71E-14,0.000517205,,5.71E-14,0.000517205
53,5.72E-12,8.21E-05,,5.72E-12,8.21E-05,,5.72E-12,8.21E-05
54,4.08E-13,0.000542324,,4.08E-13,0.000542324,,4.08E-13,0.000542324
55,3.47E-16,2.66E-07,,3.47E-16,2.66E-07,,3.47E-16,2.66E-07
56,1.28E-15,7.36E-08,,1.28E-15,7.36E-08,,1.28E-15,7.36E-08
57,3.29E-14,9.31E-05,,3.29E-14,9.31E-05,,3.29E-14,9.31E-05
58,8.68E-13,0.000647634,,8.68E-13,0.000647634,,8.68E-13,0.000647634
59,1.67E-14,2.49E-05,,1.67E-14,2.49E-05,,1.67E-14,2.49E-05
60,1.30E-15,5.02E-06,,1.30E-15,5.02E-06,,1.30E-15,5.02E-06
61,3.61E-12,7.98E-05,,3.61E-12,7.98E-05,,3.61E-12,7.98E-05
62,1.19E-12,8.19E-06,,1.19E-12,8.19E-06,,1.19E-12,8.19E-06
63,1.37E-19,1.54E-08,,1.37E-19,1.54E-08,,1.37E-19,1.54E-08
64,1.81E-15,6.37E-05,,1.81E-15,6.37E-05,,1.81E-15,6.37E-05
65,1.43E-17,1.47E-09,,1.43E-17,1.47E-09,,1.43E-17,1.47E-09
66,3.39E-19,2.73E-09,,3.39E-19,2.73E-09,,3.39E-19,2.73E-09
67,1.95E-12,0.000403099,,1.95E-12,0.000403099,,1.95E-12,0.000403099
68,1.21E-17,1.40E-06,,1.21E-17,1.40E-06,,1.21E-17,1.40E-06
69,6.16E-15,0.000170087,,6.16E-15,0.000170087,,6.16E-15,0.000170087
70,1.23E-15,4.18E-07,,1.23E-15,4.18E-07,,1.23E-15,4.18E-07
71,3.86E-11,3.21E-05,,3.86E-11,3.21E-05,,3.86E-11,3.21E-05
72,1.48E-15,9.65E-09,,1.48E-15,9.65E-09,,1.48E-15,9.65E-09
73,7.57E-20,6.40E-09,,7.57E-20,6.40E-09,,7.57E-20,6.40E-09
74,1.13E-16,8.58E-07,,1.13E-16,8.58E-07,,1.13E-16,8.58E-07
75,5.04E-16,7.50E-05,,5.04E-16,7.50E-05,,5.04E-16,7.50E-05
76,2.66E-15,0.000146046,,2.66E-15,0.000146046,,2.66E-15,0.000146046
77,3.97E-16,2.96E-08,,3.97E-16,2.96E-08,,3.97E-16,2.96E-08
78,8.44E-18,5.29E-07,,8.44E-18,5.29E-07,,8.44E-18,5.29E-07
79,8.88E-17,2.37E-05,,8.88E-17,2.37E-05,,8.88E-17,2.37E-05
80,1.89E-10,0.002258739,,1.89E-10,0.002258739,,1.89E-10,0.002258739
81,7.54E-16,3.00E-07,,7.54E-16,3.00E-07,,7.54E-16,3.00E-07
82,1.34E-14,0.002063263,,1.34E-14,0.002063263,,1.34E-14,0.002063263
83,1.83E-16,2.92E-06,,1.83E-16,2.92E-06,,1.83E-16,2.92E-06
84,8.38E-14,0.000282529,,8.38E-14,0.000282529,,8.38E-14,0.000282529
85,1.42E-14,6.84E-06,,1.42E-14,6.84E-06,,1.42E-14,6.84E-06
86,8.32E-19,1.03E-08,,8.32E-19,1.03E-08,,8.32E-19,1.03E-08
87,1.06E-14,2.24E-06,,1.06E-14,2.24E-06,,1.06E-14,2.24E-06
88,1.55E-14,7.31E-07,,1.55E-14,7.31E-07,,1.55E-14,7.31E-07
89,1.93E-16,8.18E-07,,1.93E-16,8.18E-07,,1.93E-16,8.18E-07
90,4.83E-18,2.99E-07,,4.83E-18,2.99E-07,,4.83E-18,2.99E-07
91,4.82E-15,2.86E-07,,4.82E-15,2.86E-07,,4.82E-15,2.86E-07
92,1.36E-10,0.002289178,,1.36E-10,0.002289178,,1.36E-10,0.002289178
93,3.57E-13,0.000712288,,3.57E-13,0.000712288,,3.57E-13,0.000712288
94,6.17E-15,2.20E-06,,6.17E-15,2.20E-06,,6.17E-15,2.20E-06
95,5.87E-14,3.82E-05,,5.87E-14,3.82E-05,,5.87E-14,3.82E-05
96,6.78E-18,6.26E-08,,6.78E-18,6.26E-08,,6.78E-18,6.26E-08
97,1.66E-13,0.001080497,,1.66E-13,0.001080497,,1.66E-13,0.001080497
98,7.48E-14,0.000571659,,7.48E-14,0.000571659,,7.48E-14,0.000571659
99,9.91E-16,2.08E-05,,9.91E-16,2.08E-05,,9.91E-16,2.08E-05
100,2.17E-15,1.35E-07,,2.17E-15,1.35E-07,,2.17E-15,1.35E-07
