0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
80,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
